11,price,square,
545000,2.25,545,
785000,2.5,785,
765000,3.25,765,
720000,2.5,720,
449500,2.75,449.5,
248500,1,248.5,
675000,2.5,675,
730000,2.25,730,
311000,1,311,
660000,1,660,
435000,1,435,
350000,1,350,
385000,2.25,385,
235000,1,235,
350000,1,350,
1350000,1.75,1350,
459900,1.75,459.9,
430000,3,430,
718000,2.75,718,
220000,1,220,
1500000,3.25,1500,
140000,1.5,140,
200000,2.5,200,
475000,1.75,475,
179000,1,179,
400000,2.5,400,
348125,1,348.125,
675000,2.25,675,
1000000,2.5,1000,
447500,2.5,447.5,
345000,2.5,345,
275000,2.5,275,
529941,2,529.941,
685900,2.5,685.9,
310000,1,310,
299000,1.75,299,
630000,2,630,
883000,2.5,883,
510000,2.25,510,
448500,2.25,448.5,
330000,1,330,
358000,2.5,358,
690000,3.5,690,
1518630,4.25,1518.63,
627000,2,627,
451000,1.75,451,
453250,2.5,453.25,
389000,1,389,
360000,1.75,360,
925000,3.5,925,
524225,2.5,524.225,
319000,2.25,319,
500000,1,500,
750000,2.5,750,
415000,2.5,415,
1445000,2.5,1445,
270000,1.5,270,
350000,1.75,350,
659500,3,659.5,
245000,2,245,
290000,2,290,
430000,2.25,430,
637000,2,637,
362000,3,362,
495000,3,495,
585000,3.5,585,
630000,2,630,
550000,1,550,
247200,1,247.2,
404500,1,404.5,
455000,1.75,455,
527500,2.5,527.5,
869950,2.75,869.95,
535000,1.75,535,
1065500,2.25,1065.5,
431000,2.25,431,
365000,1,365,
270000,2.5,270,
712000,2.5,712,
461000,3.25,461,
468000,2.25,468,
343000,2.5,343,
312000,1,312,
675000,2.75,675,
400000,2.5,400,
360000,2,360,
399950,2.25,399.95,
485000,2.25,485,
830000,2.75,830,
500000,1.75,500,
1583000,4,1583,
800000,2.25,800,
810000,2.5,810,
358500,1.75,358.5,
259875,2.5,259.875,
334000,1,334,
249500,1.5,249.5,
722500,3.5,722.5,
323000,1.75,323,
660000,2.5,660,
1599950,4.5,1599.95,
522000,2.25,522,
710000,2.75,710,
274000,1.5,274,
319000,3.25,319,
482500,2.5,482.5,
734000,2.75,734,
650000,2.5,650,
760000,2.5,760,
818000,3.25,818,
425000,1,425,
345000,2.5,345,
460000,2.5,460,
965000,3.25,965,
400000,1.5,400,
933000,1.5,933,
411800,2.25,411.8,
475000,2.25,475,
630000,2.5,630,
450000,1,450,
675000,2.5,675,
280000,2.5,280,
950000,1.75,950,
319990,2.5,319.99,
207000,2.5,207,
700000,1.75,700,
253000,2,253,
552000,1,552,
721000,1.5,721,
349000,2.5,349,
665000,2.5,665,
267000,2.5,267,
552000,1,552,
500000,3,500,
384000,2.25,384,
439950,1.75,439.95,
628000,2,628,
719000,2.75,719,
528000,1,528,
820000,2.75,820,
324500,2.5,324.5,
538888,2.75,538.888,
606000,2,606,
175000,1,175,
194820,1.5,194.82,
477500,3.5,477.5,
123000,1,123,
376000,2,376,
970000,3.5,970,
550000,1.5,550,
680000,2.5,680,
230000,1,230,
194000,1,194,
652000,2,652,
475000,2.5,475,
736000,2.25,736,
325000,0.75,325,
555000,3,555,
546000,1,546,
332544,1.75,332.544,
641500,1,641.5,
700000,2.5,700,
333000,1.75,333,
585888,2,585.888,
305000,1,305,
363000,1,363,
342500,1.5,342.5,
575000,2,575,
750000,2.5,750,
275000,2,275,
325000,1.5,325,
470000,1.75,470,
680000,1.75,680,
350000,1.75,350,
210000,1.5,210,
268500,1.5,268.5,
875909,2.5,875.909,
317500,2.5,317.5,
760000,2.5,760,
318000,1.5,318,
1610000,4.5,1610,
243500,2.5,243.5,
430000,2.5,430,
862000,2.25,862,
230000,1.5,230,
313500,2.25,313.5,
392500,1,392.5,
402000,1.5,402,
478000,1,478,
1000000,2,1000,
510000,3.25,510,
229500,1,229.5,
347000,1.75,347,
550000,3.5,550,
595000,1.75,595,
231000,2,231,
1099500,2,1099.5,
275500,1,275.5,
145000,1,145,
154500,1,154.5,
552500,2.25,552.5,
249950,1.5,249.95,
335000,2,335,
215000,1,215,
294000,2.75,294,
1538000,2.25,1538,
446000,1.5,446,
485000,2.5,485,
218000,1,218,
239900,1,239.9,
1780000,3.25,1780,
930000,4.25,930,
163500,1.5,163.5,
690000,2,690,
675000,2,675,
405000,1,405,
960000,3,960,
449228,2.5,449.228,
375000,2,375,
253000,1.5,253,
920000,2.75,920,
632000,2.25,632,
695000,3.75,695,
590000,2.5,590,
329500,2.5,329.5,
352450,2,352.45,
477000,2.5,477,
210000,1,210,
457000,2.5,457,
1245000,2.5,1245,
452000,2.25,452,
594000,2.75,594,
750000,2.5,750,
395000,2.75,395,
1130000,3.5,1130,
482000,2.25,482,
494000,1.75,494,
419000,2,419,
585000,1.75,585,
480000,1.75,480,
608000,2.75,608,
455600,2.5,455.6,
330000,2.5,330,
